valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,incValueMean3m,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2025-M10,month,CHFL,CHFL,all,agegroup_sti,all,1115,9091915,12.26,10728,12.61,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2025-M11,month,CHFL,CHFL,all,agegroup_sti,all,1053,9091915,11.58,11781,12.44,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2025-M12,month,CHFL,CHFL,all,agegroup_sti,all,926,9091915,10.18,12707,11.34,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2026-M01,month,CHFL,CHFL,all,agegroup_sti,all,1131,9091674,12.44,1131,11.4,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2026-M02,month,CHFL,CHFL,all,agegroup_sti,all,1061,9091674,11.67,2192,11.43,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2026-M03,month,CHFL,CHFL,all,agegroup_sti,all,1220,9091674,13.42,3412,12.51,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2026-M04,month,CHFL,CHFL,all,agegroup_sti,all,1027,9091674,11.3,4439,12.13,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2026-M05,month,CHFL,CHFL,all,agegroup_sti,all,1007,9091674,11.08,5446,11.93,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2017-M01,month,CHFL,CHFL,all,agegroup_sti,all,765,NA,9.36,765,9.42,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2017-M02,month,CHFL,CHFL,all,agegroup_sti,all,606,NA,7.41,1371,9.4,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2017-M03,month,CHFL,CHFL,all,agegroup_sti,all,720,NA,8.81,2091,8.53,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2017-M04,month,CHFL,CHFL,all,agegroup_sti,all,705,NA,8.62,2796,8.28,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2017-M05,month,CHFL,CHFL,all,agegroup_sti,all,694,NA,8.49,3490,8.64,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2017-M06,month,CHFL,CHFL,all,agegroup_sti,all,683,NA,8.35,4173,8.49,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2017-M07,month,CHFL,CHFL,all,agegroup_sti,all,666,NA,8.15,4839,8.33,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2017-M08,month,CHFL,CHFL,all,agegroup_sti,all,706,NA,8.53,5575,8.5,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2017-M09,month,CHFL,CHFL,all,agegroup_sti,all,772,NA,9.44,6347,8.86,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2017-M10,month,CHFL,CHFL,all,agegroup_sti,all,819,NA,10.02,7166,9.49,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2017-M11,month,CHFL,CHFL,all,agegroup_sti,all,752,NA,9.09,7961,9.73,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2017-M12,month,CHFL,CHFL,all,agegroup_sti,all,674,NA,8.24,8635,9.33,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2018-M01,month,CHFL,CHFL,all,agegroup_sti,all,841,NA,10.06,841,9.42,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2018-M02,month,CHFL,CHFL,all,agegroup_sti,all,795,NA,9.57,1641,9.4,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2018-M03,month,CHFL,CHFL,all,agegroup_sti,all,774,NA,9.35,2425,9.77,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2018-M04,month,CHFL,CHFL,all,agegroup_sti,all,764,NA,9.16,3189,9.4,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2018-M05,month,CHFL,CHFL,all,agegroup_sti,all,777,NA,9.29,4082,9.79,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2018-M06,month,CHFL,CHFL,all,agegroup_sti,all,768,NA,9.28,4850,9.77,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2018-M07,month,CHFL,CHFL,all,agegroup_sti,all,783,NA,9.36,5740,9.66,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2018-M08,month,CHFL,CHFL,all,agegroup_sti,all,706,NA,8.53,6446,9.52,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2018-M09,month,CHFL,CHFL,all,agegroup_sti,all,893,NA,10.79,7339,10.03,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2018-M10,month,CHFL,CHFL,all,agegroup_sti,all,851,NA,10.06,8195,9.89,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2018-M11,month,CHFL,CHFL,all,agegroup_sti,all,752,NA,9.09,8947,10.07,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2018-M12,month,CHFL,CHFL,all,agegroup_sti,all,755,NA,9.12,9702,9.52,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2019-M01,month,CHFL,CHFL,all,agegroup_sti,all,841,NA,10.06,841,9.42,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2019-M02,month,CHFL,CHFL,all,agegroup_sti,all,800,NA,9.57,1641,9.58,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2019-M03,month,CHFL,CHFL,all,agegroup_sti,all,900,NA,10.61,2541,10.13,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2019-M04,month,CHFL,CHFL,all,agegroup_sti,all,781,NA,9.16,3371,10.08,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2019-M05,month,CHFL,CHFL,all,agegroup_sti,all,777,NA,9.29,4148,9.99,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2019-M06,month,CHFL,CHFL,all,agegroup_sti,all,863,NA,10.32,5011,9.84,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2019-M07,month,CHFL,CHFL,all,agegroup_sti,all,783,NA,9.36,5794,9.66,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2019-M08,month,CHFL,CHFL,all,agegroup_sti,all,871,NA,10.42,6665,10.03,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2019-M09,month,CHFL,CHFL,all,agegroup_sti,all,923,NA,11.04,7588,10.27,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2019-M10,month,CHFL,CHFL,all,agegroup_sti,all,851,NA,10.06,8518,10.86,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2019-M11,month,CHFL,CHFL,all,agegroup_sti,all,877,NA,10.49,9395,10.88,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2019-M12,month,CHFL,CHFL,all,agegroup_sti,all,799,NA,9.33,10194,10.39,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2020-M01,month,CHFL,CHFL,all,agegroup_sti,all,935,NA,10.89,935,10.48,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2020-M02,month,CHFL,CHFL,all,agegroup_sti,all,845,NA,9.92,1803,10.3,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2020-M03,month,CHFL,CHFL,all,agegroup_sti,all,901,NA,10.35,2758,10.71,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2020-M04,month,CHFL,CHFL,all,agegroup_sti,all,554,NA,6.36,3643,9.44,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2020-M05,month,CHFL,CHFL,all,agegroup_sti,all,844,NA,9.69,4502,8.8,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2020-M06,month,CHFL,CHFL,all,agegroup_sti,all,910,NA,10.53,5510,9.21,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2020-M07,month,CHFL,CHFL,all,agegroup_sti,all,805,NA,9.46,6364,10.28,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2020-M08,month,CHFL,CHFL,all,agegroup_sti,all,936,NA,10.77,7300,10.48,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2020-M09,month,CHFL,CHFL,all,agegroup_sti,all,986,NA,11.57,8303,10.8,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2020-M10,month,CHFL,CHFL,all,agegroup_sti,all,851,NA,10.06,9154,11,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2020-M11,month,CHFL,CHFL,all,agegroup_sti,all,961,NA,11.03,10129,11.15,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2020-M12,month,CHFL,CHFL,all,agegroup_sti,all,800,NA,9.33,10996,10.49,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2021-M01,month,CHFL,CHFL,all,agegroup_sti,all,935,NA,10.89,935,10.68,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2021-M02,month,CHFL,CHFL,all,agegroup_sti,all,845,NA,9.92,1803,10.3,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2021-M03,month,CHFL,CHFL,all,agegroup_sti,all,901,NA,10.35,2758,10.71,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2021-M04,month,CHFL,CHFL,all,agegroup_sti,all,554,NA,6.36,3643,9.44,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2021-M05,month,CHFL,CHFL,all,agegroup_sti,all,844,NA,9.69,4502,8.8,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2021-M06,month,CHFL,CHFL,all,agegroup_sti,all,910,NA,10.53,5510,9.21,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2021-M07,month,CHFL,CHFL,all,agegroup_sti,all,806,NA,9.46,6383,10.56,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2021-M08,month,CHFL,CHFL,all,agegroup_sti,all,938,NA,10.77,7338,10.65,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2021-M09,month,CHFL,CHFL,all,agegroup_sti,all,986,NA,11.57,8355,10.8,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2021-M10,month,CHFL,CHFL,all,agegroup_sti,all,913,NA,10.48,9293,11.3,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2021-M11,month,CHFL,CHFL,all,agegroup_sti,all,961,NA,11.03,10331,11.55,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2021-M12,month,CHFL,CHFL,all,agegroup_sti,all,800,NA,9.33,11131,10.49,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2022-M01,month,CHFL,CHFL,all,agegroup_sti,all,935,NA,10.89,935,10.68,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2022-M02,month,CHFL,CHFL,all,agegroup_sti,all,912,NA,10.63,1847,10.3,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2022-M03,month,CHFL,CHFL,all,agegroup_sti,all,901,NA,10.35,2758,10.71,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2022-M04,month,CHFL,CHFL,all,agegroup_sti,all,554,NA,6.36,3643,9.44,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2022-M05,month,CHFL,CHFL,all,agegroup_sti,all,844,NA,9.69,4502,8.8,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2022-M06,month,CHFL,CHFL,all,agegroup_sti,all,910,NA,10.53,5510,9.21,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2022-M07,month,CHFL,CHFL,all,agegroup_sti,all,849,NA,9.89,6383,10.56,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2022-M08,month,CHFL,CHFL,all,agegroup_sti,all,938,NA,10.77,7338,10.65,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2022-M09,month,CHFL,CHFL,all,agegroup_sti,all,1017,NA,11.85,8355,10.96,NA,NA,NA,NA,NA,NA,NA,TRUE
