valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,testResult,testResult_type,value,pop,incValue,prct,inc14d,trend,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2020-W10,iso_week,JU,canton,all,agegroup_ili_ari,all,positive,all,4,73709,5.43,1.1,6.78,NA,NA,NA,NA,NA,TRUE
cases,2020-W10,iso_week,LU,canton,all,agegroup_ili_ari,all,positive,all,7,416347,1.68,1.9,1.68,NA,NA,NA,NA,NA,TRUE
cases,2020-W10,iso_week,NE,canton,all,agegroup_ili_ari,all,positive,all,25,175894,14.21,6.6,14.78,NA,NA,NA,NA,NA,TRUE
cases,2020-W10,iso_week,NW,canton,all,agegroup_ili_ari,all,positive,all,1,43520,2.3,0.3,2.3,NA,NA,NA,NA,NA,TRUE
cases,2020-W10,iso_week,OW,canton,all,agegroup_ili_ari,all,positive,all,0,38108,0,0,0,NA,NA,NA,NA,NA,TRUE
cases,2020-W10,iso_week,SG,canton,all,agegroup_ili_ari,all,positive,all,5,514504,0.97,1.3,0.97,NA,NA,NA,NA,NA,TRUE
cases,2020-W10,iso_week,SH,canton,all,agegroup_ili_ari,all,positive,all,0,83107,0,0,0,NA,NA,NA,NA,NA,TRUE
cases,2020-W10,iso_week,SO,canton,all,agegroup_ili_ari,all,positive,all,1,277462,0.36,0.3,0.36,NA,NA,NA,NA,NA,TRUE
cases,2020-W10,iso_week,SZ,canton,all,agegroup_ili_ari,all,positive,all,6,162157,3.7,1.6,3.7,NA,NA,NA,NA,NA,TRUE
cases,2020-W10,iso_week,TG,canton,all,agegroup_ili_ari,all,positive,all,2,282909,0.71,0.5,0.71,NA,NA,NA,NA,NA,TRUE
cases,2020-W10,iso_week,TI,canton,all,agegroup_ili_ari,all,positive,all,66,350986,18.8,17.5,20.51,NA,NA,NA,NA,NA,TRUE
cases,2020-W10,iso_week,UR,canton,all,agegroup_ili_ari,all,positive,all,0,36819,0,0,0,NA,NA,NA,NA,NA,TRUE
cases,2020-W10,iso_week,VD,canton,all,agegroup_ili_ari,all,positive,all,57,814762,7,15.1,7.24,NA,NA,NA,NA,NA,TRUE
cases,2020-W10,iso_week,VS,canton,all,agegroup_ili_ari,all,positive,all,12,348503,3.44,3.2,4.02,NA,NA,NA,NA,NA,TRUE
cases,2020-W10,iso_week,ZG,canton,all,agegroup_ili_ari,all,positive,all,6,128794,4.66,1.6,5.44,NA,NA,NA,NA,NA,TRUE
cases,2020-W10,iso_week,ZH,canton,all,agegroup_ili_ari,all,positive,all,34,1553423,2.19,9,2.7,NA,NA,NA,NA,NA,TRUE
cases,2020-W10,iso_week,unknown,canton,all,agegroup_ili_ari,all,positive,all,0,NA,NA,0,NA,NA,NA,NA,NA,NA,TRUE
cases,2020-W10,iso_week,CH,country,all,agegroup_ili_ari,all,positive,all,377,8670300,4.35,99.7,5.01,NA,NA,NA,NA,NA,TRUE
cases,2020-W10,iso_week,CHFL,CHFL,all,agegroup_ili_ari,all,positive,all,378,8709355,4.34,100,4.99,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,AG,canton,all,agegroup_ili_ari,all,positive,all,44,694072,6.34,1.9,7.78,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,AI,canton,all,agegroup_ili_ari,all,positive,all,2,16293,12.28,0.1,12.28,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,AR,canton,all,agegroup_ili_ari,all,positive,all,8,55309,14.46,0.4,18.08,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,BE,canton,all,agegroup_ili_ari,all,positive,all,101,1043132,9.68,4.5,12.85,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,BL,canton,all,agegroup_ili_ari,all,positive,all,79,290969,27.15,3.5,31.96,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,BS,canton,all,agegroup_ili_ari,all,positive,all,154,196735,78.28,6.8,96.07,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,FL,country,all,agegroup_ili_ari,all,positive,all,13,39055,33.29,0.6,35.85,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,FR,canton,all,agegroup_ili_ari,all,positive,all,45,325496,13.83,2,17.2,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,GE,canton,all,agegroup_ili_ari,all,positive,all,298,506343,58.85,13.2,66.36,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,GL,canton,all,agegroup_ili_ari,all,positive,all,10,40851,24.48,0.4,24.48,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,GR,canton,all,agegroup_ili_ari,all,positive,all,79,200096,39.48,3.5,43.48,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,JU,canton,all,agegroup_ili_ari,all,positive,all,18,73709,24.42,0.8,29.85,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,LU,canton,all,agegroup_ili_ari,all,positive,all,31,416347,7.45,1.4,9.13,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,NE,canton,all,agegroup_ili_ari,all,positive,all,45,175894,25.58,2,39.8,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,NW,canton,all,agegroup_ili_ari,all,positive,all,10,43520,22.98,0.4,25.28,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,OW,canton,all,agegroup_ili_ari,all,positive,all,15,38108,39.36,0.7,39.36,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,SG,canton,all,agegroup_ili_ari,all,positive,all,44,514504,8.55,1.9,9.52,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,SH,canton,all,agegroup_ili_ari,all,positive,all,2,83107,2.41,0.1,2.41,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,SO,canton,all,agegroup_ili_ari,all,positive,all,18,277462,6.49,0.8,6.85,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,SZ,canton,all,agegroup_ili_ari,all,positive,all,22,162157,13.57,1,17.27,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,TG,canton,all,agegroup_ili_ari,all,positive,all,16,282909,5.66,0.7,6.36,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,TI,canton,all,agegroup_ili_ari,all,positive,all,354,350986,100.86,15.6,119.66,NA,NA,NA,NA,NA,TRUE
